CONTROL_JOB_NO,REGION_NAME,BUSINESS_UNIT,OFFICE_NAME,CITY,STATE,CORE_MARKET,MARKET_SECTOR,PROJECT_TYPE,TOTAL_CONTROL_ESTIMATE,BUILDING_SIZE
PROJECT_0394,Southeast,South Florida,South Florida,,FL,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,21486302.13,17000.0
PROJECT_0476,Southeast,Charlotte-Greenville,Charlotte,Fort Mill,SC,Advanced Systems & Innovation,ASI-Internet & Telecom,Office,1616476.0,180000.0
PROJECT_0197,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1085880.0,750.0
PROJECT_0117,Southwest,San Diego,San Diego,,,Clinical Infrastructure,,Hospitals,9000000.0,350000.0
PROJECT_0570,,,Denver (D8-B),Denver,CO,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,12697867.0,7000.0
PROJECT_0464,Southeast,Central Florida,Orlando,Lake Buena Vista,FL,Corporate & Workplace,CW-Media & Entertainment,Retail,5886870.0,6860.0
PROJECT_0119,Southwest,San Diego,San Diego,,,Biomedical Facilities,,R&amp;D Building (Laboratories),210622.0,50000.0
PROJECT_0554,,,,Colorado Springs,CO,Advanced Systems & Innovation,,Mission Critical,0.0,350.0
PROJECT_0481,Southeast,Charlotte-Greenville,Charlotte,Charlotte,NC,Corporate & Workplace,CW-Developer,Office,4560274.0,35000.0
PROJECT_0493,Southeast,Nashville,Nashville,Nashville,TN,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,445022.0,1264.0
PROJECT_0247,Central,Austin,Austin,Lakeway,TX,Clinical Infrastructure,,Hospitals,378862.0,
PROJECT_0418,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Advanced Systems & Innovation,ASI-Developer,Mission Critical,24880544.0,55000.0
PROJECT_0514,Northeast,New Jersey,New Jersey,Levittown,PA,Corporate & Workplace,CW-Finance/Banking/Insurance,Mission Critical,8924593.0,
PROJECT_0265,Central,Dallas FTW,Dallas FTW,Westlake,TX,Corporate & Workplace,CW-Finance/Banking/Insurance,Office,3028521.0,12.0
PROJECT_0502,Northeast,New Jersey,New Jersey,Secaucus,NJ,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,22676424.0,35000.0
PROJECT_0391,Southeast,South Florida,South Florida,,,Clinical Infrastructure,,Hospitals,41560.0,25000.0
PROJECT_0451,Southeast,Central Florida,Orlando,Orlando,FL,Other,OTH-Cultural & Community,Sports and Athletics,0.0,44000.0
PROJECT_0138,Southwest,SoCal,Newport Beach,San Marino,CA,Other,OTH-Cultural & Community,Other,0.0,90000.0
PROJECT_0469,Southeast,Charlotte-Greenville,Charlotte,Forest City,NC,Advanced Systems & Innovation,,Mission Critical,0.0,875000.0
PROJECT_0295,Central,Dallas FTW,Dallas FTW,Irving,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,16155940.0,21136.0
PROJECT_0461,Southeast,Central Florida,Orlando,Orlando,FL,Academic Institutions,AI-Public,Education/Classroom Space,973884.0,1300.0
PROJECT_0472,Southeast,Charlotte-Greenville,Charlotte,Charlotte,NC,Corporate & Workplace,CW-Finance/Banking/Insurance,Office,4698513.0,30000.0
PROJECT_0538,Northwest,Pacific Northwest,Seattle,Seattle,WA,Biomedical Facilities,,Other,0.0,
PROJECT_0086,Southwest,San Diego,San Diego,,,Biomedical Facilities,,Other,15544933.0,1046120.0
PROJECT_0360,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Academic Institutions,AI-Private,Education/Classroom Space,3237535.0,10000.0
PROJECT_0476,Southeast,Charlotte-Greenville,Charlotte,Fort Mill,SC,Advanced Systems & Innovation,,Office,14701289.0,180000.0
PROJECT_0350,Northeast,Richmond,Richmond,,,Biomedical Facilities,,Biopharm Manufacturing,13301983.57,0.0
PROJECT_0068,Northwest,Sacramento,Sacramento,Vacaville,CA,Clinical Infrastructure,,Hospitals,48004.0,0.0
PROJECT_0089,Southwest,San Diego,San Diego,San Diego,CA,Clinical Infrastructure,,Office,-7883894.0,156000.0
PROJECT_0090,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),97500.0,385000.0
PROJECT_0424,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,,Biopharm Manufacturing,4316152.0,10000.0
PROJECT_0382,Southeast,Atlanta,Atlanta,Social Circle,GA,Advanced Systems & Innovation,,Mission Critical,209081651.88,405000.0
PROJECT_0301,,,,Burlington,TX,Advanced Systems & Innovation,,Mission Critical,554979958.0,50.0
PROJECT_0019,Northwest,Bay Area,Silicon Valley,San Jose,CA,Corporate & Workplace,,Office,176682.0,21000.0
PROJECT_0540,Northwest,Pacific Northwest,Seattle,Bothell,WA,Biomedical Facilities,,R&amp;D Building (Laboratories),28242.0,0.0
PROJECT_0132,Southwest,SoCal,Newport Beach,Thousand Oaks,CA,Biomedical Facilities,,Biopharm Manufacturing,31542517.0,30000.0
PROJECT_0263,Central,Dallas FTW,Dallas FTW,Coppell,TX,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,3740317.96,12500.0
PROJECT_0466,Southeast,Charlotte-Greenville,Charlotte,Forest City,NC,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,8532169.0,875000.0
PROJECT_0024,Northwest,Bay Area,Silicon Valley,Santa Clara,CA,Clinical Infrastructure,,Outpatient Healthcare,21829491.0,311680.0
PROJECT_0412,Southeast,Raleigh-Durham,Raleigh-Durham,Garner,NC,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,416000.0
PROJECT_0541,Northwest,Pacific Northwest,Seattle,,,Biomedical Facilities,,R&amp;D Building (Laboratories),158941.0,230.0
PROJECT_0063,Northwest,Sacramento,Sacramento,Vallejo,CA,Clinical Infrastructure,,Hospitals,80611.0,600.0
PROJECT_0513,Northeast,New Jersey,New Jersey,Secaucus,NJ,Advanced Systems & Innovation,ASI-Developer,Mission Critical,1189235.0,
PROJECT_0266,Central,Dallas FTW,Dallas FTW,Plano,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,9856039.25,34003.0
PROJECT_0500,Northeast,New Jersey,New Jersey,Levittown,PA,Corporate & Workplace,,Mission Critical,2217710.0,20000.0
PROJECT_0417,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Academic Institutions,AI-Private,Sports and Athletics,35600.0,55000.0
PROJECT_0361,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Academic Institutions,AI-Private,Other,5957334.0,14000.0
PROJECT_0137,Southwest,SoCal,Newport Beach,Irvine,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),2335130.0,61000.0
PROJECT_0173,Southwest,Arizona,Phoenix,Avondale,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,44901539.0,64406.0
PROJECT_0150,Southwest,SoCal,Newport Beach,Irvine,CA,Advanced Systems & Innovation,ASI-Enterprise Technologies,Mission Critical,25769344.0,
PROJECT_0089,Southwest,San Diego,San Diego,CA,CA,Clinical Infrastructure,BF-Biotech/Pharmaceutical,Office,7287710.0,156000.0
PROJECT_0260,Central,Dallas FTW,Dallas FTW,Arlington,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,3493338.69,138260.0
PROJECT_0389,Southeast,South Florida,South Florida,Boca Raton,FL,Clinical Infrastructure,,Outpatient Healthcare,2703300.0,15000.0
PROJECT_0468,Southeast,Charlotte-Greenville,Charlotte,Charlotte,NC,Corporate & Workplace,CW-Developer,Office,2895095.0,19600.0
PROJECT_0015,Northwest,Bay Area,Silicon Valley,,,Advanced Systems & Innovation,,Mission Critical,11584135.0,200000.0
PROJECT_0507,Northeast,New Jersey,New Jersey,Branchburg,NJ,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,0.0,10000.0
PROJECT_0255,Central,Houston,Houston,Houston,TX,Advanced Systems & Innovation,,Mission Critical,0.0,27000.0
PROJECT_0150,Southwest,SoCal,Newport Beach,Irvine,CA,Advanced Systems & Innovation,,Mission Critical,5099176.0,
PROJECT_0023,Northwest,Bay Area,Silicon Valley,,,Corporate & Workplace,,Office,17212.0,20000.0
PROJECT_0297,,,Central (D3-R),Abilene,TX,Advanced Systems & Innovation,ASI-Developer,Mission Critical,0.0,
PROJECT_0541,Northwest,Pacific Northwest,Seattle,Seattle,WA,Biomedical Facilities,,R&amp;D Building (Laboratories),145304.0,230.0
PROJECT_0076,Northwest,Sacramento,Sacramento,Vacaville,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,0.0,50000.0
PROJECT_0313,Northeast,DC - Baltimore,Washington DC,Reston,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,122086709.0,225000.0
PROJECT_0339,Northeast,Richmond,Richmond,,,Clinical Infrastructure,,Hospitals,15379907.44,210000.0
PROJECT_0083,Southwest,San Diego,San Diego,,,Biomedical Facilities,,R&amp;D Building (Laboratories),73112.0,2000000.0
PROJECT_0183,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,AI-Public,Hospitals,21925.0,
PROJECT_0526,Northeast,Boston,Boston,Beverly,MA,Clinical Infrastructure,,Hospitals,149543.0,18373.0
PROJECT_0357,Northeast,DC - Baltimore,Baltimore,Rockville,MD,Biomedical Facilities,,Office,205878.0,14000.0
PROJECT_0549,Northwest,Pacific Northwest,Seattle,Bothell,WA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Office,482001.0,
PROJECT_0295,Central,Dallas FTW,Dallas FTW,Irving,TX,Clinical Infrastructure,,Hospitals,3452914.0,21136.0
PROJECT_0319,Northeast,DC - Baltimore,Washington DC,Herndon,VA,Advanced Systems & Innovation,,Mission Critical,29783173.0,406200.0
PROJECT_0015,Northwest,Bay Area,Silicon Valley,Santa Clara,CA,Advanced Systems & Innovation,,Mission Critical,1542660.0,200000.0
PROJECT_0132,Southwest,SoCal,Newport Beach,,,Biomedical Facilities,,Biopharm Manufacturing,6492404.0,30000.0
PROJECT_0085,Southwest,San Diego,San Diego,Chula Vista,CA,Clinical Infrastructure,,Outpatient Healthcare,600458.0,60000.0
PROJECT_0359,Northeast,DC - Baltimore,Baltimore,Westinster,MD,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,7311262.0,20000.0
PROJECT_0093,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Other,1006095.0,7000.0
PROJECT_0513,Northeast,New Jersey,New Jersey,Secaucus,NJ,Advanced Systems & Innovation,,Mission Critical,704755.0,
PROJECT_0299,,,Central (D3-R),Abilene,TX,Advanced Systems & Innovation,ASI-Developer,Mission Critical,0.0,200.0
PROJECT_0278,Central,Dallas FTW,Dallas FTW,,,,,,0.0,
PROJECT_0076,Northwest,Sacramento,Sacramento,Vacaville,CA,Biomedical Facilities,,Biopharm Manufacturing,0.0,50000.0
PROJECT_0162,Southwest,SoCal,Newport Beach,,,Other,,Other,0.0,3900.0
PROJECT_0191,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,16500.0
PROJECT_0435,Southeast,Central Florida,Tampa,Tampa,FL,Academic Institutions,,Other,1236608.46,7000.0
PROJECT_0339,Northeast,Richmond,Richmond,Richmond,VA,Clinical Infrastructure,,Hospitals,1234100.0,210000.0
PROJECT_0171,Southwest,Arizona,Phoenix,Mesa,AZ,Clinical Infrastructure,,Hospitals,0.0,15800.0
PROJECT_0039,Northwest,Bay Area,Silicon Valley,Hayward,CA,Advanced Systems & Innovation,ASI-Internet & Telecom,Advanced Manufacturing,4977047.0,56000.0
PROJECT_0430,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,12487654.0,300000.0
PROJECT_0453,Southeast,Central Florida,Orlando,Orlando,FL,Other,OTH-Amusement & Theme Parks,Other,5141908.0,20000.0
